TCh-CHN Men,"Suzhou, Jiangsu CHN",2001.03.26,1,Ding Liren,Wu Wenjin,,,C67,"[['e4', 'e5'], ['Nf3', 'Nc6'], ['Bb5', 'Nf6'], ['O-O', 'Nxe4'], ['d4', 'Nd6'], ['Bxc6', 'dxc6'], ['dxe5', 'Nf5'], ['Qxd8+', 'Kxd8\n'], ['Nc3', 'h6'], ['Bd2', 'Be6'], ['Rad1', 'Kc8'], ['Rfe1', 'b6'], ['a3', 'Kb7'], ['Bc1', 'Re8'], ['h3', 'c5\n'], ['Ne4', 'Ne7'], ['b3', 'a5'], ['Nc3', 'Nc6'], ['Bb2', 'c4'], ['bxc4', 'Bxc4'], ['Ne4', 'Be6'], ['Rd2', 'Be7\n'], ['Red1', 'Rd8'], ['Kf1', 'Rxd2'], ['Rxd2', 'a4'], ['Nd4', 'Nxd4'], ['Rxd4', 'b5'], ['f4', 'h5'], ['Kf2', 'Kc6\n'], ['Kf3', 'g6'], ['Ke3', 'Rd8'], ['Rxd8', 'Bxd8'], ['Kd4', 'Be7'], ['Bc1', 'Bf5'], ['Bb2', 'b4'], ['axb4', 'Bxb4\n'], ['c3', 'a3'], ['Ba1', 'Be7'], ['c4', 'Bxe4'], ['Kxe4', 'Kc5'], ['Kd3', 'Kb4'], ['g4', 'hxg4'], ['hxg4', 'Kb3\n'], ['f5', 'gxf5'], ['gxf5', 'Ka2'], ['Bc3', 'Kb1'], ['e6', 'fxe6'], ['fxe6', 'a2'], ['Ke4', 'Ba3'], ['Kd3', 'c6\n'], ['Bd4', 'a1=Q'], ['Bxa1', 'Kxa1'], ['Kd4', 'Be7'], ['c5', 'Kb2'], ['Kc4', 'Ka3']]",0-1
zt 3.5,Shandong CHN,2007.04.30,3,Jia Haoxiang,Ding Liren,,,E62,"[['Nf3', 'Nf6'], ['c4', 'g6'], ['Nc3', 'Bg7'], ['g3', 'O-O'], ['Bg2', 'd6'], ['O-O', 'e5'], ['d4', 'Nc6'], ['dxe5', 'dxe5\n'], ['Bg5', 'Be6'], ['Qa4', 'h6'], ['Rfd1', 'Qe8'], ['Bxf6', 'Bxf6'], ['Nd5', 'Bd8'], ['Qb3', 'f5'], ['Nxe5', 'Nxe5\n'], ['Qxb7', 'Rc8'], ['Nf4', 'c6'], ['Rd6', 'Rf7'], ['Qa6', 'Bd7'], ['Nxg6', 'Ng4'], ['c5', 'Bc7'], ['Rd4', 'Kg7\n'], ['Nh4', 'Be5'], ['Rd2', 'f4'], ['Qd3', 'fxg3'], ['fxg3', 'Qe7'], ['Rad1', 'Qxc5+'], ['e3', 'Qxe3+'], ['Qxe3', 'Nxe3\n'], ['Rxd7', 'Nxd1'], ['Rxd1', 'Bxb2'], ['g4', 'Kf8'], ['Be4', 'c5'], ['Rd2', 'Bd4+'], ['Kg2', 'Rb8'], ['Bd5', 'Rf6\n'], ['Bb3', 'Rb4'], ['Nf3', 'a5'], ['h4', 'a4'], ['Bd5', 'Rd6'], ['Be4', 'Rb2'], ['Rc2', 'a3'], ['g5', 'hxg5\n'], ['hxg5', 'Rdb6']]",0-1
zt 3.5,Shandong CHN,2007.05.01,4,Ding Liren,Gu Xiaobing,,,E61,"[['d4', 'Nf6'], ['Nf3', 'g6'], ['c4', 'Bg7'], ['Nc3', 'O-O'], ['Bg5', 'h6'], ['Bh4', 'd6'], ['e3', 'c5'], ['d5', 'a6'], ['a4', 'Bf5\n'], ['Nd2', 'e5'], ['Be2', 'Qe8'], ['O-O', 'Nh7'], ['a5', 'h5'], ['h3', 'g5'], ['Bg3', 'h4'], ['Bh2', 'Nd7'], ['e4', 'Bg6\n'], ['Bh5', 'f5'], ['Bxg6', 'Qxg6'], ['f3', 'Bh6'], ['exf5', 'Rxf5'], ['Nde4', 'Raf8'], ['Qd3', 'R5f7'], ['Nxc5', 'Qxd3\n'], ['Nxd3', 'Nhf6'], ['Nf2', 'Nc5'], ['Nfe4', 'Nfxe4'], ['Nxe4', 'Nxe4'], ['fxe4', 'g4'], ['Rxf7', 'Rxf7\n'], ['hxg4', 'Rg7'], ['Kf2', 'Rxg4'], ['Kf3', 'Rg7'], ['Rd1', 'Rc7'], ['b3', 'Kf8'], ['Kg4', 'Rg7+'], ['Kh3', 'Be3\n'], ['b4', 'Ke8'], ['c5', 'dxc5'], ['Bxe5', 'Rg5'], ['Bf6', 'Rg6'], ['e5', 'Bg5'], ['bxc5', 'Bxf6'], ['exf6', 'Rxf6\n'], ['Kxh4', 'Rf4+'], ['Kg5', 'Rc4'], ['Kf5', 'Rxc5'], ['Ke6', 'Rc2'], ['g4', 'Re2+'], ['Kd6', 'Rg2'], ['Kc7', 'Rxg4\n'], ['Re1+', 'Kf7'], ['d6', 'Rc4+'], ['Kxb7', 'Rd4'], ['Kc6', 'Rc4+'], ['Kd5', 'Rc2'], ['d7', 'Rd2+'], ['Kc6', 'Rc2+\n'], ['Kb7', 'Rd2'], ['Kc7', 'Rc2+'], ['Kd8', 'Rd2'], ['Rf1+', 'Ke6'], ['Ke8', '']]",1-0
zt 3.5,Shandong CHN,2007.05.02,5,Ju Wenjun,Ding Liren,,,E97,"[['d4', 'Nf6'], ['c4', 'g6'], ['Nc3', 'Bg7'], ['e4', 'O-O'], ['Nf3', 'd6'], ['Be2', 'e5'], ['O-O', 'Nc6'], ['d5', 'Ne7\n'], ['Nd2', 'a5'], ['a3', 'Nd7'], ['Rb1', 'f5'], ['b4', 'Kh8'], ['Qc2', 'Nf6'], ['f3', 'c6'], ['Nb3', 'axb4'], ['axb4', 'b5\n'], ['dxc6', 'bxc4'], ['Bxc4', 'Nxc6'], ['b5', 'Nb4'], ['Qe2', 'fxe4'], ['fxe4', 'Bg4'], ['Qb2', 'd5'], ['exd5', 'e4\n'], ['Nd4', 'Nd3'], ['Bxd3', 'exd3'], ['b6', 'Nxd5'], ['Rxf8+', 'Qxf8'], ['Nxd5', 'Qc5'], ['b7', 'Rb8'], ['Be3', 'Qxd5\n'], ['Qc3', 'Qe4'], ['Re1', 'Qxb7'], ['Qxd3', 'Qd5'], ['Qd2', 'Re8'], ['Nc2', 'Qc4'], ['Bf2', 'Rxe1+'], ['Qxe1', 'Be2\n'], ['Ne3', 'Qd3'], ['Nd5', 'Be5'], ['Bg3', 'Bd4+'], ['Kh1', 'Qd1'], ['Qxd1', 'Bxd1'], ['Bf4', 'Bb3'], ['Be3', '']]",1/2-1/2
zt 3.5,Shandong CHN,2007.05.03,6,Ding Liren,Wang Rui,,,D12,"[['d4', 'd5'], ['Nf3', 'Nf6'], ['c4', 'c6'], ['e3', 'Bf5'], ['Nc3', 'e6'], ['Nh4', 'Bg6'], ['Qb3', 'Qc7'], ['Bd2', 'Nbd7\n'], ['Nxg6', 'hxg6'], ['h3', 'Be7'], ['Be2', 'a6'], ['Rc1', 'Nb6'], ['c5', 'Nbd7'], ['f4', 'Nh5'], ['Bxh5', 'Rxh5\n'], ['Qd1', 'Bh4+'], ['Kf1', 'Ke7'], ['Qf3', 'Rah8'], ['g3', 'Bxg3'], ['Qxg3', 'g5'], ['Ne2', 'Nf6'], ['fxg5', 'Qxg3\n'], ['gxf6+', '']]",1-0
zt 3.5,Shandong CHN,2007.05.04,7,Wu Wenjin,Ding Liren,,,E61,"[['d4', 'Nf6'], ['c4', 'g6'], ['Nc3', 'Bg7'], ['Bf4', 'O-O'], ['Qd2', 'd6'], ['Bh6', 'e5'], ['Bxg7', 'Kxg7'], ['dxe5', 'dxe5\n'], ['O-O-O', 'Qe7'], ['e3', 'Be6'], ['Nf3', 'Nc6'], ['Nd5', 'Bxd5'], ['cxd5', 'Nb4'], ['Bc4', 'Rad8'], ['Nxe5', 'Nbxd5\n'], ['Nd3', 'Nb6'], ['Qc3', 'Rd6'], ['b3', 'Rfd8'], ['Nb2', 'Kg8'], ['f3', 'Nbd5'], ['Qe1', 'Nxe3'], ['Rxd6', 'Rxd6\n'], ['Kb1', 'Qe5'], ['a4', 'Qf5+'], ['Ka2', 'Nxc4'], ['Nxc4', 'Qc2+'], ['Ka3', 'Rd3']]",0-1
zt 3.5,Shandong CHN,2007.05.05,8,Ding Liren,Xiu Deshun,,,D12,"[['d4', 'd5'], ['Nf3', 'Nf6'], ['c4', 'c6'], ['e3', 'Bf5'], ['Nc3', 'e6'], ['Nh4', 'Bg6'], ['Nxg6', 'hxg6'], ['Bd2', 'Nbd7\n'], ['g3', 'Be7'], ['b3', 'e5'], ['Bg2', 'e4'], ['a3', 'Nf8'], ['b4', 'Ne6'], ['c5', 'Qd7'], ['Qe2', 'a6'], ['Bc1', 'g5\n'], ['Bb2', 'g4'], ['h4', 'g5'], ['h5', 'Ng7'], ['h6', 'Nf5'], ['h7', 'Kf8'], ['O-O-O', 'Kg7'], ['Nxe4', 'dxe4\n'], ['d5', 'cxd5'], ['Qxg4', 'Kg6'], ['Bxf6', 'Bxf6'], ['Bxe4', 'Qa4'], ['Bxf5+', 'Kg7'], ['Rd3', 'Rad8\n'], ['Rh5', 'Kf8'], ['Rxg5', 'Ke7'], ['Rg8', 'a5'], ['e4', 'axb4'], ['exd5', 'Bb2+'], ['Kxb2', 'bxa3+'], ['Rxa3', '']]",1-0
zt 3.5,Shandong CHN,2007.05.06,9,Ding Liren,Bu Xiangzhi,,,D70,"[['d4', 'd5'], ['Nf3', 'Nf6'], ['c4', 'c6'], ['e3', 'g6'], ['Bd3', 'Bg7'], ['O-O', 'O-O'], ['b3', 'Ne4'], ['Bb2', 'Bf5\n'], ['Qc2', 'e6'], ['Nc3', 'Nxc3'], ['Bxc3', 'Bxd3'], ['Qxd3', 'Nd7'], ['e4', 'dxe4'], ['Qxe4', 'Re8'], ['Rad1', 'Qe7\n'], ['Rfe1', 'Rad8'], ['Qc2', 'Qd6'], ['Re3', 'Qc7'], ['Bb2', 'Qa5'], ['Bc3', 'Qc7'], ['Bb2', 'Qa5'], ['Bc3', '']]",1/2-1/2
TCh-CHN Torch Real Estate Cup,Jiangsu Wuxi CHN,2008.05.19,7,"Motylev,A",Ding Liren,,,C10,"[['e4', 'e6'], ['d4', 'd5'], ['Nc3', 'dxe4'], ['Nxe4', 'Nd7'], ['Nf3', 'Ngf6'], ['Nxf6+', 'Nxf6'], ['Be3', 'Nd5'], ['Bd2', 'c5\n'], ['Bb5+', 'Bd7'], ['Bxd7+', 'Qxd7'], ['c4', 'Nb6'], ['Rc1', 'Rc8'], ['dxc5', 'Bxc5'], ['b4', 'Be7'], ['c5', 'Nd5\n'], ['Ne5', 'Qc7'], ['Qa4+', 'Kf8'], ['Nc4', 'a6'], ['O-O', 'h5'], ['Rfe1', 'h4'], ['h3', 'Rh5'], ['Qd1', 'g6\n'], ['Qe2', 'Rd8'], ['Ne5', 'Bf6'], ['Ng4', 'Bg7'], ['Rc4', 'Qc6'], ['Ne3', 'Qb5'], ['Nxd5', 'Rdxd5'], ['Be3', 'Bf6\n'], ['Qc2', 'Qc6'], ['Bf4', 'Rhf5'], ['Ree4', 'g5'], ['Bd6+', 'Be7'], ['Bxe7+', 'Kxe7'], ['Red4', 'Qd7'], ['Qd2', 'Rf4\n'], ['Rxd5', 'Qxd5'], ['Qxd5', 'exd5'], ['Rxf4', 'gxf4'], ['g3', 'fxg3'], ['fxg3', 'hxg3'], ['Kg2', 'd4\n'], ['Kxg3', 'Ke6'], ['h4', 'Kf5'], ['Kf3', 'd3'], ['a4', '']]",1-0
ch-CHN,Beijing CHN,2008.05.29,1,Ni Hua,Ding Liren,,,C02,"[['e4', 'e6'], ['d4', 'd5'], ['e5', 'c5'], ['c3', 'Qb6'], ['Nf3', 'Bd7'], ['a3', 'Bb5'], ['Bxb5+', 'Qxb5'], ['a4', 'Qd7\n'], ['dxc5', 'Bxc5'], ['b4', 'Bb6'], ['O-O', 'Ne7'], ['Nbd2', 'Nbc6'], ['Nb3', 'O-O'], ['Qe2', 'a6'], ['Re1', 'Rfd8\n'], ['Bf4', 'Qe8'], ['Rad1', 'Rac8'], ['a5', 'Ba7'], ['Qd2', 'Rc7'], ['h4', 'Rdc8'], ['Rc1', 'b6'], ['axb6', 'Bxb6\n'], ['Ra1', 'Ra8'], ['h5', 'h6'], ['Ra2', 'a5'], ['Rea1', 'Rca7'], ['Be3', 'Qb8'], ['Nxa5', 'Nxa5'], ['bxa5', 'Bxe3\n'], ['Qxe3', 'Nc6'], ['g4', 'Rxa5'], ['Rxa5', 'Rxa5'], ['Rxa5', 'Nxa5'], ['g5', 'Qb1+'], ['Kg2', 'Qf5'], ['Kg3', '']]",1/2-1/2
ch-CHN,Beijing CHN,2008.05.30,2,Yu Shaoteng,Ding Liren,,,C10,"[['e4', 'e6'], ['d4', 'd5'], ['Nc3', 'Nf6'], ['Bg5', 'dxe4'], ['Nxe4', 'Nbd7'], ['Nf3', 'h6'], ['Nxf6+', 'Nxf6'], ['Be3', 'Nd5\n'], ['Bd2', 'c5'], ['Bb5+', 'Bd7'], ['Qe2', 'Bxb5'], ['Qxb5+', 'Qd7'], ['Qxd7+', 'Kxd7'], ['c4', 'Nb6'], ['b3', 'cxd4\n'], ['O-O-O', 'Ba3+'], ['Kb1', 'Rhd8'], ['Nxd4', 'Ke7'], ['Be3', 'Rdc8'], ['Rhe1', 'Bb4'], ['Re2', 'Rd8\n'], ['Kc2', 'Rd7'], ['Nb5', 'a6'], ['Nd4', 'Rad8'], ['Nf5+', 'Kf8'], ['Rxd7', '']]",1/2-1/2
ch-CHN,Beijing CHN,2008.05.31,3,Ding Liren,Zhou Jianchao,,,D85,"[['d4', 'Nf6'], ['c4', 'g6'], ['Nc3', 'd5'], ['cxd5', 'Nxd5'], ['e4', 'Nxc3'], ['bxc3', 'Bg7'], ['Nf3', 'c5'], ['Rb1', 'O-O\n'], ['Be2', 'cxd4'], ['cxd4', 'Qa5+'], ['Bd2', 'Qxa2'], ['O-O', 'b6'], ['Qc1', 'Qe6'], ['Bc4', 'Qxe4'], ['Re1', 'Qb7\n'], ['Bb4', 'Bf6'], ['Qh6', 'Nc6'], ['Bd5', 'Be6'], ['Rxe6', 'fxe6'], ['Bxe6+', 'Kh8'], ['Bc3', 'Rg8'], ['Ng5', 'Rg7\n'], ['Rb3', 'Qc7'], ['Nf7+', 'Rxf7'], ['Bxf7', 'e6'], ['d5', 'Qxf7'], ['dxc6', 'e5'], ['Ra3', 'Rc8'], ['h4', 'a5\n'], ['Qe3', 'Rxc6'], ['Bxe5', 'Re6'], ['Bxf6+', 'Qxf6'], ['Qc1', 'Qe7'], ['Qb2+', 'Qf6'], ['Qc1', 'Qe7'], ['Qb2+', 'Kg8\n'], ['Qa2', 'Kg7'], ['Qb2+', 'Qf6'], ['Qd2', 'Qxh4'], ['Rh3', 'Qe7'], ['Rd3', 'Re1+'], ['Kh2', 'Re2'], ['Qf4', 'h5\n'], ['g3', 'Qf7']]",0-1
ch-CHN,Beijing CHN,2008.06.01,4,Wen Yang,Ding Liren,,,E61,"[['Nf3', 'Nf6'], ['c4', 'g6'], ['Nc3', 'Bg7'], ['d4', 'O-O'], ['Bf4', 'd6'], ['h3', 'Nbd7'], ['e3', 'c6'], ['Be2', 'a6\n'], ['a4', 'b6'], ['O-O', 'Bb7'], ['Bh2', 'Re8'], ['b4', 'e5'], ['Qb3', 'a5'], ['b5', 'c5'], ['Rad1', 'cxd4'], ['exd4', 'Qe7\n'], ['Rfe1', 'Rac8'], ['Qa3', 'Qe6'], ['dxe5', 'dxe5'], ['Nd5', 'Rc5'], ['Ng5', 'Qf5'], ['Nxf7', 'Rxd5'], ['cxd5', 'Kxf7\n'], ['g4', 'Qg5'], ['Bg3', 'Bf8'], ['d6', 'Qh6'], ['h4', 'g5'], ['Qe3', '']]",1/2-1/2
ch-CHN,Beijing CHN,2008.06.02,5,Ding Liren,Liang Chong,,,D39,"[['d4', 'Nf6'], ['c4', 'e6'], ['Nf3', 'd5'], ['Nc3', 'dxc4'], ['e4', 'Bb4'], ['Bg5', 'c5'], ['Bxc4', 'cxd4'], ['Nxd4', 'Qa5\n'], ['Bxf6', 'gxf6'], ['O-O', 'a6'], ['Rc1', 'Bd7'], ['Nf5', 'exf5'], ['Nd5', 'Bc6'], ['Nxf6+', 'Ke7'], ['Qh5', 'Rf8\n'], ['Qh4', 'Kd8'], ['Nd5+', 'Kc8'], ['a3', 'Bd6'], ['e5', 'Bxe5'], ['Ne7+', 'Kc7'], ['b4', 'Qb6'], ['Nd5+', 'Bxd5\n'], ['Bxd5+', 'Kd7'], ['Rfd1', 'Bd6'], ['Qh6', 'Rc8'], ['Be6+', 'fxe6'], ['Qg7+', '']]",1-0
ch-CHN,Beijing CHN,2008.06.03,6,Li Shilong,Ding Liren,,,A26,"[['c4', 'g6'], ['Nc3', 'Bg7'], ['g3', 'e5'], ['Bg2', 'd6'], ['d3', 'f5'], ['Nf3', 'Nf6'], ['O-O', 'O-O'], ['Rb1', 'Nc6\n'], ['b4', 'h6'], ['b5', 'Ne7'], ['a4', 'g5'], ['Ba3', 'Be6'], ['Nd2', 'Rb8'], ['Qb3', 'Ng6'], ['Nd5', 'h5'], ['Rfc1', 'b6\n'], ['a5', 'h4'], ['Bb4', 'hxg3'], ['hxg3', 'Nh5'], ['Ra1', 'f4'], ['Ne4', 'g4'], ['axb6', 'axb6'], ['Qd1', 'Bh6\n'], ['Bd2', 'Rf7'], ['Ra3', 'Ng7'], ['Nb4', 'Qf8'], ['Rca1', 'Kh8'], ['Nc3', 'Re8'], ['Ra8', 'Bc8'], ['Bd5', 'Rf6\n'], ['Ne4', 'Rf5'], ['R1a7', 'fxg3'], ['Nxg3', 'Nf4'], ['Bxf4', 'Rxf4'], ['Ne4', 'Rxf2'], ['Nxf2', 'Be3\n'], ['Qf1', 'g3'], ['Kg2', 'Nh5'], ['Rxc7', 'gxf2'], ['Qh1', 'f1=Q+'], ['Qxf1', 'Bh3+'], ['Kxh3', 'Qxf1+\n'], ['Bg2', 'Nf4+']]",0-1
ch-CHN,Beijing CHN,2008.06.04,7,Ding Liren,Zhou Weiqi,,,A62,"[['d4', 'Nf6'], ['c4', 'e6'], ['Nf3', 'c5'], ['d5', 'exd5'], ['cxd5', 'd6'], ['Nc3', 'g6'], ['g3', 'Bg7'], ['Bg2', 'O-O\n'], ['O-O', 'Re8'], ['Bf4', 'Nh5'], ['Bg5', 'f6'], ['Bd2', 'Na6'], ['e4', 'f5'], ['exf5', 'Bxf5'], ['Ng5', 'Nf6\n'], ['Ne6', 'Qb6'], ['Na4', 'Qb5'], ['Nxg7', 'Kxg7'], ['Bc3', 'Kf7'], ['b3', 'Qe2'], ['Qc1', 'Nb4'], ['Qh6', 'Nd3\n'], ['Qh4', 'Nh5'], ['h3', 'b5'], ['g4', 'bxa4'], ['gxh5', 'Qe7'], ['hxg6+', 'Bxg6'], ['Qh6', 'Qf8'], ['Qg5', 'Qe7\n'], ['Qh6', 'Qf8'], ['Qg5', 'Qe7'], ['Qh6', 'Qf8']]",1/2-1/2
ch-CHN,Beijing CHN,2008.06.05,8,Li Chao,Ding Liren,,,C10,"[['e4', 'e6'], ['d4', 'd5'], ['Nc3', 'Nf6'], ['Bg5', 'dxe4'], ['Nxe4', 'Nbd7'], ['Nf3', 'h6'], ['Nxf6+', 'Nxf6'], ['Be3', 'Nd5\n'], ['Bd3', 'Nxe3'], ['fxe3', 'Bd6'], ['e4', 'e5'], ['dxe5', 'Bc5'], ['Bb5+', 'c6'], ['Qxd8+', 'Kxd8'], ['Bc4', 'Ke7\n'], ['c3', 'Be6'], ['Bxe6', 'Kxe6'], ['Ke2', 'Bb6'], ['Rhf1', 'Rhf8'], ['g4', 'Rad8'], ['g5', 'h5'], ['h3', 'Rd7\n'], ['g6', 'fxg6'], ['Ng5+', 'Ke7'], ['e6', 'Rd6'], ['Rxf8', 'Kxf8'], ['Rf1+', 'Ke8'], ['Rf7', 'Rxe6'], ['Rxg7', 'Rf6\n'], ['Rxb7', 'Rf2+'], ['Kd3', 'Rxb2'], ['e5', 'Rb1'], ['e6', 'Re1'], ['h4', 'Re3+'], ['Kc4', 'Re5'], ['Rg7', 'Be3\n'], ['Rxg6', 'Bxg5'], ['hxg5', 'Ke7'], ['Kd4', 'Ra5'], ['c4', 'h4'], ['Rh6', 'Rxg5'], ['Rxh4', 'Ra5'], ['Re4', 'Rxa2\n'], ['Kc5', 'Ra6'], ['Re2', 'Ra4'], ['Re1', 'Ra6'], ['Re4', 'Rb6'], ['Rg4', 'Kxe6'], ['Rg7', 'Ra6'], ['Rh7', 'Ra4\n'], ['Rc7', 'Ra6'], ['Rh7', 'Ra4'], ['Rg7', 'Ra6'], ['Rc7', 'Ra4'], ['Rxc6+', 'Kd7'], ['Rh6', 'Ra5+'], ['Kb4', 'Rg5\n'], ['Rh7+', 'Kc6'], ['Rxa7', 'Kb6'], ['Rf7', 'Rg6']]",1/2-1/2
ch-CHN,Beijing CHN,2008.06.06,9,Ding Liren,Wang Yue,,,D15,"[['d4', 'd5'], ['c4', 'c6'], ['e3', 'Nf6'], ['Nc3', 'a6'], ['Nf3', 'b5'], ['b3', 'Bg4'], ['h3', 'Bxf3'], ['gxf3', 'Nbd7\n'], ['f4', 'e6'], ['c5', 'g6'], ['Bd3', 'a5'], ['a4', 'b4'], ['Ne2', 'Ne4'], ['Qc2', 'f5'], ['Bb2', 'Bg7'], ['Ng1', 'g5\n'], ['Ne2', 'Bh6'], ['f3', 'Nef6'], ['fxg5', 'Bxg5'], ['Qd2', 'Rg8'], ['O-O-O', 'Qc7'], ['Kb1', 'Kf7'], ['Rdg1', 'Rg6\n'], ['Bc1', 'Rag8'], ['Qe1', 'Qd8'], ['Qf2', 'Bh6'], ['Qh2', 'Qb8'], ['Qf2', 'R8g7'], ['Rxg6', 'hxg6'], ['e4', 'Bxc1\n'], ['Kxc1', 'Nh5'], ['e5', 'Qh8'], ['h4', 'g5'], ['Kc2', 'Nf4'], ['Nxf4', 'gxf4'], ['h5', 'Qh6'], ['Qh4', 'Ke8\n'], ['Kd1', 'Nf8'], ['Ke1', 'Rg2'], ['Be2', 'Nh7'], ['Kf1', 'Rg3'], ['Rg1', 'Qg5'], ['Qxg5', 'Nxg5'], ['Rxg3', 'fxg3\n'], ['Kg2', 'f4'], ['h6', 'Kf8'], ['Ba6', 'Nf7'], ['h7', 'Kg7'], ['Bb5', 'Nd8'], ['Bd3', 'Nf7'], ['Bb5', 'Nd8\n'], ['Bd3', 'Nf7']]",1/2-1/2
ch-CHN,Beijing CHN,2008.06.07,10,Zhang Pengxiang,Ding Liren,,,C10,"[['e4', 'e6'], ['d4', 'd5'], ['Nc3', 'Nf6'], ['Bg5', 'dxe4'], ['Nxe4', 'Nbd7'], ['Nf3', 'h6'], ['Nxf6+', 'Nxf6'], ['Be3', 'Nd5\n'], ['Bd3', 'Nxe3'], ['fxe3', 'Bd6'], ['e4', 'e5'], ['dxe5', 'Bc5'], ['Bb5+', 'c6'], ['Qxd8+', 'Kxd8'], ['Bc4', 'Ke7\n'], ['c3', 'Be6'], ['Bxe6', 'Kxe6'], ['Ke2', 'Bb6'], ['a4', 'a5'], ['Rhf1', 'Rhf8'], ['g4', 'Rad8'], ['g5', 'Rd7\n'], ['Rad1', 'Rxd1'], ['Rxd1', 'hxg5'], ['Nxg5+', 'Ke7'], ['Nf3', 'Rh8'], ['h4', 'g6'], ['Rh1', 'Bc7'], ['Rf1', 'Ke8\n'], ['Kd3', 'Bd8'], ['e6', 'fxe6'], ['Ne5', 'Rh6'], ['Nf7', 'Rxh4'], ['Nd6+', 'Ke7'], ['e5', 'Rh7'], ['Nxb7', 'Bc7\n'], ['Rf6', 'Bxe5'], ['Rxg6', 'Kf7'], ['Rg4', 'Bc7'], ['Rc4', 'Kf6'], ['Rxc6', 'Kf5'], ['Nxa5', 'e5'], ['Nc4', 'e4+\n'], ['Kd4', 'Rd7+'], ['Kc5', 'Bb8'], ['Rc8', 'Ba7+'], ['Kc6', 'Re7'], ['Rc7', 'Rxc7+'], ['Kxc7', 'e3'], ['Nxe3+', 'Bxe3\n'], ['a5', 'Ke4'], ['a6', '']]",1-0
ch-CHN,Beijing CHN,2008.06.08,11,Ding Liren,Wang Hao,,,D12,"[['d4', 'd5'], ['c4', 'c6'], ['e3', 'Nf6'], ['Nf3', 'Bf5'], ['Nc3', 'e6'], ['Nh4', 'Bg6'], ['Nxg6', 'hxg6'], ['a3', 'Nbd7\n'], ['g3', 'Be7'], ['b3', 'e5'], ['Bg2', 'e4'], ['Bb2', 'Bd6'], ['Qe2', 'Qe7'], ['O-O', 'O-O'], ['cxd5', 'cxd5\n'], ['Nb5', 'Rfc8'], ['Rfc1', 'a6'], ['Nxd6', 'Qxd6'], ['Rc2', 'Rxc2'], ['Qxc2', 'Nb6'], ['Qc5', 'Qd8'], ['Rc1', 'Rc8\n'], ['Qb4', 'Nfd7'], ['a4', 'Rxc1+'], ['Bxc1', 'Qc7'], ['Ba3', 'Nc8'], ['Qd2', 'f5'], ['Kf1', 'Kf7'], ['Ke1', 'g5\n'], ['h3', 'Nf8'], ['Qc1', 'Qd7'], ['Bf1', 'Ne6'], ['Be2', 'Nd6'], ['Qc3', 'Ne8'], ['Qb4', 'Qc7'], ['Kd2', 'f4\n'], ['Bh5+', 'g6'], ['Bg4', 'N8g7'], ['Qd6', 'Qxd6'], ['Bxd6', 'f3'], ['Bxe6+', 'Nxe6'], ['g4', 'Ke8'], ['Bb4', 'Kd7\n'], ['Kc2', 'Kc6'], ['Bd2', 'Kb6'], ['Bb4', 'a5'], ['Be1', 'Ka6'], ['Kb2', 'b5'], ['Ka2', 'Nf8'], ['Kb2', 'Nd7\n'], ['Ka2', 'Nb6'], ['Ka3', 'Nc8'], ['Ka2', 'Nd6'], ['Kb2', 'Kb6'], ['Ka2', 'Nc8'], ['Kb2', 'Na7'], ['Ka2', 'Nc6\n'], ['Ka3', 'Ka6'], ['Bd2', '']]",1/2-1/2
TCh-CHN Torch Real Estate Cup,Jiangsu Wuxi CHN,2008.10.21,9,Ding Liren,Ji Dan,,,D37,"[['d4', 'd5'], ['c4', 'e6'], ['Nf3', 'Nf6'], ['Nc3', 'Be7'], ['Bf4', 'O-O'], ['e3', 'Nbd7'], ['Qc2', 'c5'], ['dxc5', 'Nxc5\n'], ['Be2', 'dxc4'], ['Bxc4', 'a6'], ['a4', 'b6'], ['O-O', 'Bb7'], ['Rfd1', 'Qe8'], ['Qe2', 'Qc6'], ['Qf1', 'Rfd8\n'], ['Nd4', 'Qc8'], ['Rac1', 'Nh5'], ['Be5', 'Nd7'], ['Be2', 'Bc5'], ['b4', 'Bxb4'], ['Ncb5', 'axb5'], ['Rxc8', 'Rdxc8\n'], ['Bd6', 'Bxd6'], ['Nxb5', 'Bf8'], ['Rxd7', 'Bc6'], ['Rd4', 'Nf6'], ['Bf3', 'Bxf3'], ['gxf3', 'Nd5'], ['Rc4', 'Rxc4\n'], ['Qxc4', 'g6'], ['Nd4', 'Bc5'], ['Nb3', 'Bf8'], ['Qc6', 'Ra7'], ['f4', 'Nb4'], ['Qe8', 'Nd5'], ['Qc6', 'Nb4\n'], ['Qxb6', 'Rxa4'], ['Qd8', 'Nc6'], ['Qe8', 'Rc4'], ['Nd2', 'Rc1+'], ['Kg2', 'Kg7'], ['Nf3', 'h6'], ['h4', 'Rc5\n'], ['h5', 'gxh5'], ['e4', 'Bd6'], ['Kg3', 'Rc3'], ['Qd7', 'Ne7']]",1-0
