US Amateur Team East,Parsipanny USA,2002.02.16,1,"Milovanovic,Dragan","Caruana,F",,,A48,"[['d4', 'Nf6'], ['Nf3', 'g6'], ['e3', 'Bg7'], ['Bd3', 'O-O'], ['O-O', 'd5'], ['Nbd2', 'Nbd7'], ['c3', 'b6'], ['e4', 'dxe4\n'], ['Nxe4', 'Bb7'], ['Re1', 'Re8'], ['Bf4', 'Rc8'], ['Qa4', 'a6'], ['Rad1', 'b5'], ['Qc2', 'Nd5'], ['Bg3', 'c6\n'], ['h4', 'c5'], ['dxc5', 'Nxc5'], ['Nxc5', 'Rxc5'], ['Qb1', 'Qb6'], ['h5', 'Bxc3'], ['hxg6', 'hxg6'], ['bxc3', 'Nxc3\n'], ['Qb4', 'Nxd1'], ['Rxd1', 'Bxf3'], ['gxf3', 'Rd8'], ['Be2', 'Rxd1+'], ['Bxd1', 'Rc1'], ['Qd2', 'Qc5\n'], ['Kg2', 'a5'], ['Bf4', 'Rc4'], ['Be3', 'Qd6'], ['Bb3', 'Rh4'], ['Qxa5', 'Qd7'], ['Kf1', 'Qd3+'], ['Kg2', 'Qd7']]",1/2-1/2
GCT Rapid Paris 2017,Paris FRA,2017.06.23,8.5,"Caruana,F","Carlsen,M",,,C84,"[['e4', 'e5'], ['Nf3', 'Nc6'], ['Bb5', 'a6'], ['Ba4', 'Nf6'], ['O-O', 'Be7'], ['d3', 'b5'], ['Bb3', 'd6'], ['a4', 'Bd7\n'], ['c3', 'O-O'], ['Bc2', 'b4'], ['Re1', 'Re8'], ['a5', 'Rb8'], ['Nbd2', 'Bf8'], ['Bb3', 'bxc3'], ['bxc3', 'h6\n'], ['h3', 'Be6'], ['Ba4', 'Bd7'], ['Nc4', 'Ne7'], ['Bc2', 'Ng6'], ['d4', 'exd4'], ['cxd4', 'd5'], ['exd5', 'Rxe1+\n'], ['Qxe1', 'Nxd5'], ['Bxg6', 'fxg6'], ['Nce5', 'Be8'], ['Ba3', 'Bd6'], ['Bc5', 'g5'], ['Rc1', 'Nf4'], ['Qe4', 'Bxe5\n'], ['Nxe5', 'Qd5'], ['Qxd5+', 'Nxd5'], ['Re1', 'Rb5'], ['Kh2', 'Bf7'], ['Nxf7', 'Kxf7'], ['Re5', 'c6'], ['Rf5+', 'Ke6\n'], ['Re5+', 'Kf7'], ['Rf5+', 'Kg6'], ['Re5', 'Rxa5'], ['Re6+', 'Kf5'], ['Rxc6', 'Ra2'], ['Rd6', 'Nf6'], ['d5', 'Ke4\n'], ['Rd8', 'Nxd5'], ['Re8+', 'Kf5'], ['Bd4', 'Nf6'], ['Re7', 'Rd2'], ['Be3', 'Rd7'], ['g4+', 'Kg6'], ['Re6', 'a5\n'], ['Ra6', 'Rd5'], ['Kg3', 'Kh7'], ['Kf3', 'Rb5'], ['Bd4', 'Rb3+'], ['Kg2', 'Nd5'], ['Be5', 'Rb5'], ['Ra7', 'Ne3+\n'], ['fxe3', 'Rxe5'], ['Kf3', 'Kg6'], ['Ra6+', 'Kf7'], ['Ra7+', 'Kf6'], ['Ra6+', 'Ke7'], ['Ra7+', 'Kd6'], ['Rxg7', 'Kc5\n'], ['Rg6', 'a4'], ['Rxh6', 'a3'], ['h4', 'gxh4'], ['Rxh4', 'a2'], ['Rh1', 'Kc4'], ['Kf4', 'Ra5'], ['Ra1', 'Kb3\n'], ['g5', 'Kb2'], ['Rxa2+', 'Rxa2'], ['g6', 'Kc3'], ['Kf5', 'Rf2+'], ['Ke6', 'Rg2'], ['Kf7', 'Kd3'], ['g7', 'Rxg7+\n'], ['Kxg7', 'Kxe3']]",1/2-1/2
GCT Rapid Paris 2017,Paris FRA,2017.06.23,9.2,"Vachier Lagrave,M","Caruana,F",,,C53,"[['e4', 'e5'], ['Nf3', 'Nc6'], ['Bc4', 'Bc5'], ['c3', 'Nf6'], ['d3', 'd6'], ['O-O', 'a6'], ['a4', 'O-O'], ['Re1', 'Be6\n'], ['Bxe6', 'fxe6'], ['b4', 'Ba7'], ['Ra2', 'Ne7'], ['Nbd2', 'Ng6'], ['Nf1', 'Qd7'], ['d4', 'exd4'], ['cxd4', 'd5\n'], ['e5', 'Ne4'], ['Qb3', 'a5'], ['bxa5', 'c5'], ['Ng3', 'Nxg3'], ['hxg3', 'cxd4'], ['Ba3', 'Rfc8'], ['Qb5', 'Qf7\n'], ['Rd2', 'h6'], ['Bb2', 'Rc5'], ['Qb3', 'Rxa5'], ['Bxd4', 'Qd7'], ['Qb1', 'Ne7'], ['Rb2', 'Rb8'], ['Bxa7', 'Rxa7\n'], ['Rb6', 'Nc6'], ['Rc1', 'Rf8'], ['a5', 'Nxa5'], ['Nd4', 'Nc6'], ['Nxc6', 'bxc6'], ['Rcxc6', 'Qf7'], ['f4', 'Ra3\n'], ['Kf2', 'Qa7'], ['Qg6', 'Qa4'], ['Kg1', 'Ra1+'], ['Kh2', 'Qd1'], ['Qxe6+', 'Kh8'], ['Qxh6+', 'gxh6'], ['Rxh6+', 'Kg7\n'], ['Rhg6+', 'Kh7'], ['Rh6+', 'Kg7'], ['Rhg6+', 'Kh7']]",1/2-1/2
GCT Blitz Paris 2017,Paris FRA,2017.06.24,1.1,"Carlsen,M","Caruana,F",,,D00,"[['d4', 'd5'], ['Bf4', 'Nf6'], ['e3', 'e6'], ['Nf3', 'c5'], ['c3', 'Nc6'], ['Nbd2', 'Bd6'], ['Bg3', 'O-O'], ['Bb5', 'Bxg3\n'], ['hxg3', 'Qb6'], ['a4', 'h6'], ['O-O', 'Ne7'], ['Qb3', 'Qc7'], ['a5', 'Bd7'], ['Be2', 'Ng6'], ['Qa3', 'c4\n'], ['b3', 'cxb3'], ['Nxb3', 'Ne4'], ['Rfc1', 'Bc6'], ['c4', 'dxc4'], ['Rxc4', 'Qd8'], ['Nc5', 'Nd6'], ['Rc2', 'Bd5\n'], ['Bd3', 'b6'], ['e4', 'bxc5'], ['exd5', 'exd5'], ['dxc5', 'Ne4'], ['c6', 'Qc7'], ['Qb3', 'Rfd8'], ['Qb7', 'Rac8\n'], ['Rb1', 'Qxa5'], ['c7', 'Rf8'], ['Qb5', 'Qa3'], ['Qxd5', 'Nc3'], ['Rxc3', 'Qxc3'], ['Bxg6', 'Rxc7'], ['Ne5', 'Qc5\n'], ['Bxf7+', 'Rfxf7'], ['Rb8+', '']]",1-0
GCT Blitz Paris 2017,Paris FRA,2017.06.24,2.2,"Caruana,F","Karjakin,Sergey",,,A05,"[['Nf3', 'Nf6'], ['g3', 'c5'], ['Bg2', 'Nc6'], ['O-O', 'e5'], ['c4', 'd5'], ['cxd5', 'Nxd5'], ['Qa4', 'Nb6'], ['Qc2', 'Be7\n'], ['b3', 'Be6'], ['Bb2', 'f6'], ['d3', 'Rc8'], ['Nbd2', 'Nd4'], ['Qd1', 'Qd7'], ['e3', 'Nxf3+'], ['Nxf3', 'O-O\n'], ['Qe2', 'Bd5'], ['Rfd1', 'Rfd8'], ['Rac1', 'Bf8'], ['h4', 'a5'], ['Bc3', 'Ra8'], ['Rb1', 'Qc6'], ['h5', 'Nc8\n'], ['Rbc1', 'Qe6'], ['e4', 'Bc6'], ['Nh4', 'Nd6'], ['f4', 'Nb5'], ['Ba1', 'a4'], ['Nf5', 'axb3'], ['axb3', 'Nd4\n'], ['Bxd4', 'exd4'], ['Qc2', 'Ra3'], ['Bh3', 'Qf7'], ['Qc4', 'b5'], ['Qxf7+', 'Kxf7'], ['b4', 'Rc3'], ['Ra1', 'cxb4\n'], ['Ra7+', 'Kg8'], ['h6', 'gxh6'], ['e5', 'fxe5'], ['fxe5', 'Bd5'], ['e6', 'Re8'], ['e7', 'Bg7'], ['Nd6', 'Bf7\n'], ['Nxe8', 'Bxe8'], ['Be6+', 'Kh8'], ['Ra8', '']]",1-0
GCT Blitz Paris 2017,Paris FRA,2017.06.24,3.5,"Vachier Lagrave,M","Caruana,F",,,C07,"[['e4', 'e6'], ['d4', 'd5'], ['Nd2', 'c5'], ['Ngf3', 'cxd4'], ['Nxd4', 'Nf6'], ['exd5', 'Qxd5'], ['Nb5', 'Qd8'], ['Bd3', 'a6\n'], ['Nc3', 'Nc6'], ['O-O', 'Ne5'], ['Be2', 'b5'], ['Nf3', 'Qxd1'], ['Rxd1', 'Nc6'], ['Bf4', 'Bb7'], ['a3', 'Bc5\n'], ['b4', 'Be7'], ['Ne5', 'Nxe5'], ['Bxe5', 'O-O'], ['a4', 'bxa4'], ['Nxa4', 'Nd5'], ['c4', 'Nxb4'], ['Rd7', 'Be4\n'], ['Rxe7', 'Nc6'], ['Bd6', 'Nxe7'], ['Bxe7', 'Rfb8'], ['c5', 'Rb3'], ['f3', 'Bc6'], ['Nb6', 'Ra7'], ['Bd6', 'a5\n'], ['Bd1', 'Rb4'], ['Ba4', 'Bxa4'], ['Rxa4', 'f6'], ['Kf2', 'Kf7'], ['Ke3', 'e5'], ['Rxb4', 'axb4'], ['c6', 'b3\n'], ['Kd3', 'Ra1'], ['Nc4', 'Ra6'], ['c7', 'Rc6'], ['f4', 'b2'], ['Nxb2', 'Rxd6+'], ['Ke4', 'Rc6'], ['fxe5', 'Rxc7\n'], ['Nd3', 'Rc2'], ['exf6', 'Rxg2'], ['fxg7', 'Rxh2'], ['Nf4', 'Kxg7'], ['Kf5', 'Ra2'], ['Ne6+', 'Kh6'], ['Nf4', 'Ra5+\n'], ['Kf6', 'Rg5'], ['Ne6', 'Rg6+'], ['Kf5', 'Rxe6']]",0-1
GCT Blitz Paris 2017,Paris FRA,2017.06.24,4.2,"Caruana,F","Nakamura,Hi",,,C65,"[['e4', 'e5'], ['Nf3', 'Nc6'], ['Bb5', 'Nf6'], ['d3', 'Bc5'], ['Bxc6', 'dxc6'], ['Nbd2', 'Be6'], ['Nb3', 'Bb6'], ['Qe2', 'Qe7\n'], ['Bd2', 'a5'], ['Bc3', 'Nd7'], ['d4', 'a4'], ['Nbd2', 'a3'], ['b3', 'exd4'], ['Bxd4', 'O-O'], ['O-O', 'Ba5\n'], ['Rad1', 'Rad8'], ['Qe3', 'Bg4'], ['Nc4', 'Bb4'], ['h3', 'Bh5'], ['Qf4', 'Rfe8'], ['c3', 'Bd6'], ['e5', 'Bc5\n'], ['g4', 'Bg6'], ['Ne3', 'Bxd4'], ['Rxd4', 'f6'], ['exf6', 'Qxf6'], ['Qg3', 'Nc5'], ['Rxd8', 'Rxd8'], ['Qxc7', 'Rf8\n'], ['Nd4', 'Bd3'], ['Nef5', 'Bxf1'], ['Kxf1', 'h6'], ['h4', 'Re8'], ['Kg2', 'Kh7'], ['b4', 'Ne4'], ['Qd7', 'Rd8\n'], ['Qxb7', 'Nxc3'], ['Ne6', 'Rg8'], ['Qxc6', 'Qe5'], ['Nc5', 'Qd5+'], ['Qxd5', 'Nxd5'], ['b5', 'Rb8'], ['Nd4', 'Nc3\n'], ['Na6', 'Rb6'], ['Nb4', 'Nxb5'], ['Nxb5', 'Rxb5'], ['Nc2', 'Ra5'], ['f4', 'h5'], ['Kf3', 'hxg4+'], ['Kxg4', 'Kg6\n'], ['Nd4', 'Kf6'], ['h5', 'Rc5'], ['Kf3', 'Rc1'], ['Nb5', 'Rc2']]",0-1
GCT Blitz Paris 2017,Paris FRA,2017.06.24,5.4,"So,W","Caruana,F",,,A06,"[['Nf3', 'd5'], ['e3', 'Nf6'], ['c4', 'e6'], ['b3', 'Bd6'], ['Bb2', 'O-O'], ['Nc3', 'b6'], ['Qc2', 'c6'], ['Be2', 'Bb7\n'], ['cxd5', 'exd5'], ['O-O', 'Nbd7'], ['Rac1', 'Re8'], ['Rfd1', 'Nc5'], ['d3', 'Rc8'], ['b4', 'Ne6'], ['Qb3', 'Qe7\n'], ['a3', 'c5'], ['bxc5', 'bxc5'], ['Nb5', 'Bb8'], ['Bxf6', 'gxf6'], ['Rb1', 'Bc6'], ['d4', 'c4'], ['Qc2', 'Nf4\n'], ['Bf1', 'Ng6'], ['a4', 'Qd7'], ['Nc3', 'h5'], ['g3', 'h4'], ['Bg2', 'hxg3'], ['hxg3', 'Kg7'], ['Nd2', 'Qg4\n'], ['Nf1', 'Qg5'], ['e4', 'dxe4'], ['d5', 'Bd7'], ['Nxe4', 'Qe5'], ['Ne3', 'f5'], ['Rxb8', 'Qxb8'], ['Ng5', 'Qb3\n'], ['Qd2', 'c3'], ['Qd4+', 'f6'], ['Ne6+', 'Bxe6'], ['dxe6', 'Qxe6'], ['Bh3', 'Ne7'], ['Re1', 'Kg8'], ['Kh2', 'Qe5\n'], ['Qd7', 'Red8'], ['Qxa7', 'Rc7'], ['Qb6', 'Qc5'], ['Qe6+', 'Kg7'], ['Bxf5', 'Qe5'], ['Qb6', 'Rh8+'], ['Kg1', 'Qc5\n'], ['Qb1', 'Nd5'], ['Qe4', 'Nxe3'], ['Rxe3', 'c2'], ['Qg4+', 'Kf8'], ['Bxc2', 'Qxc2'], ['Qb4+', 'Kf7'], ['Kg2', 'Qc6+\n'], ['Rf3', 'Rh2+'], ['Kxh2', 'Qxf3']]",0-1
GCT Blitz Paris 2017,Paris FRA,2017.06.24,6.3,"Grischuk,A","Caruana,F",,,C44,"[['e4', 'e5'], ['Nf3', 'Nc6'], ['Be2', 'Nf6'], ['d3', 'd5'], ['Nbd2', 'Bc5'], ['O-O', 'O-O'], ['c3', 'a5'], ['a4', 'Re8\n'], ['Qc2', 'h6'], ['h3', 'Be6'], ['Re1', 'd4'], ['Nf1', 'Nd7'], ['Ng3', 'Bf8'], ['cxd4', 'exd4'], ['Nd2', 'Nc5\n'], ['b3', 'Nb4'], ['Qb1', 'Bd6'], ['Ngf1', 'f5'], ['Ba3', 'fxe4'], ['dxe4', 'd3'], ['Bd1', 'Rf8'], ['Re3', 'Bf4\n'], ['Rf3', 'Qg5'], ['Bc1', 'Rad8'], ['Ne3', 'Nc6'], ['Bb2', 'Ne5'], ['Bxe5', 'Qxe5'], ['Ra2', 'Nxe4'], ['Nxe4', 'Qxe4\n'], ['Rd2', 'g5'], ['Qc1', 'Rf7'], ['g3', 'Bd6'], ['Rxf7', 'Bxf7'], ['Bg4', 'Bxg3'], ['Nf5', 'Bf4'], ['Nxh6+', 'Kf8\n'], ['Qc5+', 'Rd6'], ['Nxf7', 'Kxf7'], ['Qxc7+', 'Qe7'], ['Qc4+', 'Kf8'], ['Rxd3', 'Rxd3'], ['Qxd3', 'Qc7\n'], ['Kg2', 'Ke7'], ['Bf3', 'b6'], ['Qg6', 'Qc5'], ['Qg7+', 'Kd6'], ['h4', 'Qe5'], ['Qf8+', 'Qe7'], ['Qb8+', 'Kc5\n'], ['Qc8+', 'Kb4'], ['Qc4+', 'Ka3'], ['h5', 'Bd6'], ['h6', 'Bc5'], ['Qd3', 'Qe1'], ['Qc2', 'Qe6'], ['h7', 'Qh6\n'], ['Qf5', 'Bd6'], ['Bg4', 'Qh2+'], ['Kf3', 'Bc5'], ['Ke4', 'Qh4'], ['Kd5', 'Qh5'], ['Bf3', 'Qh6'], ['Be4', 'Qd6+\n'], ['Kc4', 'Qd4+'], ['Kb5', 'Qb4+'], ['Ka6', 'Qc3'], ['Qd5', 'Bd4'], ['f3', 'Qc8+'], ['Kb5', 'Qc3'], ['Qc4', 'Qxb3+\n'], ['Qxb3+', 'Kxb3'], ['Bd5+', 'Ka3'], ['Bb7', 'Kb3'], ['Bd5+', 'Kc3'], ['Bb7', 'Kd3'], ['Bc6', 'Kc3'], ['Bb7', 'Kd3\n'], ['Bc6', 'Kc3']]",1/2-1/2
GCT Blitz Paris 2017,Paris FRA,2017.06.24,7.4,"Caruana,F","Bacrot,E",,,A28,"[['c4', 'e5'], ['Nc3', 'Nf6'], ['Nf3', 'Nc6'], ['e3', 'd6'], ['d4', 'g6'], ['Bd3', 'Bg7'], ['O-O', 'O-O'], ['h3', 'Re8\n'], ['Bc2', 'exd4'], ['exd4', 'd5'], ['cxd5', 'Nb4'], ['Ba4', 'Bd7'], ['Bb3', 'Bf5'], ['Bg5', 'Qd6'], ['Ne5', 'Ne4\n'], ['Bf4', 'Nxc3'], ['bxc3', 'Nxd5'], ['Bg3', 'Qd8'], ['Qf3', 'c6'], ['Rad1', 'f6'], ['c4', 'Nb4'], ['Ng4', 'Qd7\n'], ['Bd6', 'a5'], ['Bxb4', 'axb4'], ['c5+', 'Kh8'], ['Qg3', 'Be4'], ['Ne3', 'g5'], ['d5', 'cxd5'], ['Nxd5', 'Qc6\n'], ['Qd6', 'Rad8'], ['Qxc6', 'bxc6'], ['Nxb4', 'Bf8'], ['Rc1', 'Rb8'], ['Rc4', 'Rb5'], ['Rfc1', 'Reb8'], ['a3', 'Bd5\n'], ['R4c3', 'Bxb3'], ['Rxb3', 'Rxc5'], ['Rd1', 'Rcb5'], ['Rf3', 'Bxb4'], ['axb4', 'Kg7'], ['Rd7+', 'Kg6\n'], ['Rd6', 'Rf8'], ['Rxc6', 'Rxb4'], ['Rd3', 'Rb7'], ['Rdd6', '']]",1/2-1/2
GCT Blitz Paris 2017,Paris FRA,2017.06.24,8.2,"Topalov,V","Caruana,F",,,A20,"[['c4', 'e5'], ['g3', 'Nf6'], ['Bg2', 'c6'], ['Nf3', 'e4'], ['Nd4', 'Qb6'], ['Nb3', 'a5'], ['d3', 'a4'], ['N3d2', 'd5'], ['dxe4', 'dxe4\n'], ['e3', 'Bg4'], ['Qc2', 'Nbd7'], ['Nc3', 'Bb4'], ['Ndxe4', 'Nxe4'], ['Qxe4+', 'Be6'], ['O-O', 'O-O'], ['Qh4', 'Ne5\n'], ['Nd5', 'cxd5'], ['cxd5', 'Bg4'], ['f4', 'Be2'], ['fxe5', 'Bxf1'], ['Bxf1', 'Qc5'], ['Qd4', 'Rfd8'], ['d6', 'Qa5\n'], ['Kg2', 'Rac8'], ['Bd3', 'g6'], ['Be4', 'Rd7'], ['Bd3', 'Re8'], ['a3', 'Be1'], ['b4', 'axb3'], ['Bb2', 'Qd2+\n'], ['Kh3', 'Re6'], ['Bb5', 'Rd8'], ['Rd1', 'Qf2'], ['Qf4', 'Qxb2'], ['Bc4', 'Qxe5']]",0-1
GCT Blitz Paris 2017,Paris FRA,2017.06.24,9.2,"Caruana,F","Mamedyarov,S",,,C77,"[['e4', 'e5'], ['Nf3', 'Nc6'], ['Bb5', 'a6'], ['Ba4', 'Nf6'], ['d3', 'b5'], ['Bb3', 'Bc5'], ['Nc3', 'd6'], ['Nd5', 'h6\n'], ['c3', 'O-O'], ['O-O', 'Rb8'], ['Nxf6+', 'Qxf6'], ['h3', 'Ne7'], ['d4', 'Bb6'], ['Be3', 'Ng6'], ['a4', 'Nf4\n'], ['a5', 'exd4'], ['Bxf4', 'Qxf4'], ['axb6', 'Rxb6'], ['Qxd4', 'Bxh3'], ['e5', 'Qxd4'], ['cxd4', 'Bg4\n'], ['Rfc1', 'Rc8'], ['exd6', 'Bxf3'], ['gxf3', 'Rxd6'], ['d5', 'c5'], ['dxc6', 'Rcxc6'], ['Rxc6', 'Rxc6\n'], ['Rd1', 'g6'], ['Rd7', 'Rf6'], ['Bd5', 'Rf5'], ['Be4', 'Rg5+'], ['Kf1', 'a5'], ['Ke2', 'Kf8'], ['Ke3', 'h5\n'], ['f4', 'Rc5'], ['Bd5', 'Ke8'], ['Kd4', 'Rc2'], ['Rb7', 'Rxf2'], ['Ke5', 'Rxb2'], ['Rxf7', 'a4'], ['Kd6', 'Re2\n'], ['Rg7', 'Kd8'], ['Rxg6', 'a3'], ['f5', 'Re8'], ['f6', '']]",1-0
GCT Blitz Paris 2017,Paris FRA,2017.06.25,10.1,"Caruana,F","Carlsen,M",,,A07,"[['Nf3', 'd5'], ['g3', 'Nf6'], ['Bg2', 'Bg4'], ['O-O', 'e6'], ['d3', 'Be7'], ['h3', 'Bh5'], ['Nbd2', 'c5'], ['e4', 'Nc6\n'], ['Re1', 'dxe4'], ['dxe4', 'O-O'], ['e5', 'Nd7'], ['g4', 'Bg6'], ['Nc4', 'Nb4'], ['Ne3', 'Nb6'], ['Qe2', 'N6d5\n'], ['Rd1', 'Qc7'], ['Nxd5', 'Nxd5'], ['a3', 'c4'], ['Nd4', 'Rfd8'], ['Kh1', 'c3'], ['b4', 'Qb6'], ['Nb3', 'Rd7\n'], ['f4', 'Rad8'], ['Rf1', 'h6'], ['f5', 'Bh7'], ['Na5', 'Qc7'], ['Nc4', 'b5'], ['Na5', 'a6'], ['Nb3', 'Nb6\n'], ['Bf4', 'Nc4'], ['Bg3', 'Bg5'], ['Rf3', 'Rd2'], ['Nxd2', 'cxd2'], ['h4', 'Ne3'], ['hxg5', 'd1=Q+'], ['Rxd1', 'Rxd1+\n'], ['Kh2', 'Nxg4+'], ['Kh3', 'Rd4'], ['g6', 'fxg6'], ['fxe6', 'g5'], ['Rf7', 'Qc8'], ['Qf3', 'Bg6'], ['Re7', 'Nxe5\n'], ['Qf2', 'Qd8'], ['Rxg7+', 'Kxg7'], ['Bxe5+', 'Kg8'], ['Bxd4', 'Qd6'], ['Qf6', 'g4+'], ['Kxg4', '']]",1-0
GCT Blitz Paris 2017,Paris FRA,2017.06.25,11.2,"Karjakin,Sergey","Caruana,F",,,C07,"[['e4', 'e6'], ['d4', 'd5'], ['Nd2', 'c5'], ['exd5', 'Qxd5'], ['Ngf3', 'cxd4'], ['Bc4', 'Qd6'], ['O-O', 'Nf6'], ['Nb3', 'Nc6\n'], ['Nbxd4', 'Nxd4'], ['Nxd4', 'a6'], ['Re1', 'Qc7'], ['Bf1', 'Bd6'], ['Nf5', 'Bxh2+'], ['Kh1', 'Kf8'], ['Qd4', 'exf5\n'], ['Qxf6', 'h6'], ['Qd4', 'Bd6'], ['Bd2', 'Be6'], ['Bc3', 'Rh7'], ['Rad1', 'Be7'], ['Qe3', 'h5'], ['Qf3', 'Rc8\n'], ['Bd3', 'Qc6'], ['Qxc6', 'Rxc6'], ['Bxf5', 'Rh6'], ['Be4', 'Rc7'], ['Be5', 'Rc5'], ['Bd4', 'Rc7'], ['Be3', 'Rf6\n'], ['Bd4', 'Rh6'], ['b3', 'b5'], ['Be5', 'Rc8'], ['f3', 'h4'], ['Re2', 'Rh5'], ['Bd4', 'b4'], ['Bb7', 'Rd8'], ['Bxa6', 'Rhd5\n'], ['Red2', 'Bg5'], ['Bc5+', 'Rxc5'], ['Rxd8+', 'Bxd8'], ['Rxd8+', 'Ke7'], ['Rd2', 'Ra5'], ['Bd3', 'Rxa2\n'], ['Re2', 'Kd6'], ['Re4', 'Kc5'], ['Rxh4', 'Ra1+'], ['Kh2', 'Rd1'], ['Be4', '']]",0-1
GCT Blitz Paris 2017,Paris FRA,2017.06.25,12.4,"Caruana,F","Vachier Lagrave,M",,,B23,"[['e4', 'c5'], ['Nc3', 'd6'], ['Nge2', 'Nf6'], ['h3', 'Nc6'], ['d4', 'cxd4'], ['Nxd4', 'e5'], ['Nf3', 'h6'], ['Bc4', 'Be6\n'], ['Bb3', 'Be7'], ['O-O', 'O-O'], ['Qe2', 'Na5'], ['Rd1', 'Nxb3'], ['cxb3', 'Qa5'], ['Be3', 'Rac8'], ['Nd2', 'd5\n'], ['exd5', 'Nxd5'], ['Nxd5', 'Bxd5'], ['Nc4', 'Bxc4'], ['bxc4', 'Rfd8'], ['b3', 'Bc5'], ['Bxc5', 'Qxc5\n'], ['Qe4', 'b6'], ['Rd3', 'Rxd3'], ['Qxd3', 'Re8'], ['Rd1', 'e4'], ['Qe3', 'Qa3'], ['Rd2', 'Qc1+'], ['Kh2', 'Qa1\n'], ['b4', 'Qe5+'], ['g3', 'Rc8'], ['Rd4', 'f5'], ['Rd5', 'Qf6'], ['c5', 'bxc5'], ['bxc5', 'Rc6'], ['Qf4', 'Qe7\n'], ['Qxf5', 'Rf6'], ['Qc8+', 'Rf8'], ['Qd7', 'Rxf2+'], ['Kg1', 'Qf8'], ['Qd8', 'Rxa2'], ['c6', 'Ra1+'], ['Kg2', 'Ra2+\n'], ['Kg1', '']]",1/2-1/2
GCT Blitz Paris 2017,Paris FRA,2017.06.25,13.5,"Nakamura,Hi","Caruana,F",,,A06,"[['Nf3', 'd5'], ['e3', 'Nf6'], ['c4', 'e6'], ['b3', 'Bd6'], ['Bb2', 'O-O'], ['d4', 'b6'], ['Bd3', 'Bb7'], ['Nbd2', 'Nbd7\n'], ['O-O', 'c5'], ['Rc1', 'Qe7'], ['cxd5', 'exd5'], ['dxc5', 'bxc5'], ['Re1', 'Rfe8'], ['Nf1', 'Rad8'], ['Ng3', 'g6\n'], ['Bb5', 'a6'], ['Ba4', 'Ne4'], ['Nxe4', 'dxe4'], ['Nd2', 'Ne5'], ['Bxe5', 'Qxe5'], ['g3', 'Re6'], ['Qe2', 'Qg5\n'], ['Red1', 'h5'], ['h4', 'Qf5'], ['Nc4', 'Bd5'], ['Nb6', 'Re5'], ['Nxd5', 'Rxd5'], ['Rxd5', 'Qxd5'], ['Rd1', 'Qb7\n'], ['Qc4', 'a5'], ['Rd5', 'Qe7'], ['Kg2', 'Qe6'], ['Bc6', 'Rc8'], ['Bb7', 'Rc7'], ['Qa6', 'Bxg3'], ['Rd8+', 'Kg7\n'], ['Qxe6', 'fxe6'], ['Kxg3', 'Rxb7'], ['Ra8', 'c4'], ['bxc4', 'Rc7'], ['Rxa5', 'Rxc4'], ['a4', 'Kf6'], ['Ra8', 'Rc2\n'], ['a5', 'Ra2'], ['a6', 'e5'], ['Kg2', 'Kf5'], ['Kh3', 'Kf6'], ['Kg3', 'Ra1'], ['f3', 'exf3'], ['Kxf3', 'Ra4\n'], ['Ke2', 'Kf5'], ['Kf3', 'Kf6'], ['e4', 'Ra3+'], ['Ke2', 'Ra4'], ['Kd3', 'Kg7'], ['Kc3', 'Rxe4'], ['Kb3', 'Re1\n'], ['Rc8', 'Ra1'], ['Rc6', 'e4'], ['Kc2', 'e3'], ['Kd3', 'Ra3+'], ['Ke2', 'Kf7'], ['Kf3', 'Kg7'], ['Rc7+', 'Kf6\n'], ['a7', 'g5'], ['Rc6+', 'Kg7'], ['Rc7+', 'Kg6'], ['Rc6+', 'Kg7'], ['hxg5', 'Rxa7'], ['Kxe3', 'Ra4'], ['Kf3', 'Rg4\n'], ['Kf2', 'Rxg5'], ['Rc3', 'Kf6'], ['Rg3', 'Rxg3'], ['Kxg3', 'h4+'], ['Kxh4', '']]",1/2-1/2
GCT Blitz Paris 2017,Paris FRA,2017.06.25,14.4,"Caruana,F","So,W",,,A18,"[['c4', 'e6'], ['Nc3', 'Nf6'], ['e4', 'd5'], ['cxd5', 'exd5'], ['e5', 'Ne4'], ['Nf3', 'Bf5'], ['Be2', 'Be7'], ['O-O', 'Nc6\n'], ['d3', 'Nxc3'], ['bxc3', 'O-O'], ['d4', 'Qd7'], ['Bd3', 'Na5'], ['Re1', 'Nc4'], ['Rb1', 'Bxd3'], ['Qxd3', 'b5\n'], ['Nd2', 'Rab8'], ['Nb3', 'Rb6'], ['Bf4', 'Qg4'], ['Bg3', 'Qg6'], ['Qf3', 'a5'], ['Rbd1', 'Qc2'], ['Qxd5', 'Qxa2\n'], ['Nc5', 'Rd8'], ['Nd7', 'c6'], ['Qe4', 'Ra6'], ['e6', 'f6'], ['d5', 'cxd5'], ['Qxd5', 'Qb3'], ['Qb7', 'Rxe6\n'], ['Qd5', 'Nd2'], ['Qxb3', 'Nxb3'], ['Rxe6', 'Kf7'], ['Ree1', 'a4'], ['Bc7', 'Rc8'], ['Bd6', 'Bxd6'], ['Rxd6', 'Rxc3\n'], ['Nb6', 'a3'], ['Nd5', 'Rc4'], ['Ra6', 'b4'], ['Ra4', 'Nc1'], ['Rxb4', 'a2'], ['Rb7+', 'Kg6'], ['Ra7', 'Rc2\n'], ['Nb4', 'Rb2'], ['Rxc1', '']]",1-0
